Title,Author,Genre,Year Read,Read for school?,Read > 1 time
Keeping at It,Paul Volcker,Finance,2020,,
Code Warriors: NSA's Codebreakers and the Secret Intelligence War Against the Soviet Union,Stephen Budiansky,American History,2020,,
Treason by the Book,Johnathan Spence,World History,2020,,
Fermat's Last Theorem,Simon Singh,History of Science,2019,,
Significant Figures,Ian Stewart,History of Science,2019,,
Barbarians at the Gate,Bryan Burrough,Finance,2019,,
The New Tycoons,Jason Kelly,Finance,2019,,
Flash Boys,Michael Lewis,Finance,2019,,
America's Bank,Roger Lowenstein,Finance,2019,,
Astroball,Ben Reiter,Culture / Non-fiction,2019,,
Where Wizards Stay Up Late,"Katie Hafner, Matthew Lyon",Tech,2019,,
A Most Elegant Equation,David Stipp,History of Science,2019,,
A Force So Swift,Kevin Peraino,World History,2019,,
Say Nothing,Patrick Radden Keefe,World History,2019,,
The New Turing Omnibus,A.K. Dewdney,Tech,2019,,
Einstein,Walter Isaacson,History of Science / Biography,2018,,
The Defining Moment,Jonathan Alter,Politics,2018,,
The Courage to Act,Ben Bernanke,Finance,2018,,
Den of Thieves,James Stewart,Finance,2018,,
Dear Chairman,Jeff Gramm,Finance,2018,,
Too Big to Fail,Andrew Ross Sorkin,Finance,2018,,
When Genius Failed,Roger Lowenstein,Finance,2018,,
Other People's Money,Charles Bagli,Finance,2018,,
The Quants,Scott Patterson,Finance,2018,,
The End of Alchemy,Mervyn King,Finance,2018,,
Fooled by Randomness,Nassim Taleb,Non-fiction,2018,,
Taking Charge,Michael Beschloss,Politics,2018,,
Saudi America,Bethany McLean,Politics,2018,,
The War That Ended Peace,Margaret MacMillan,World History,2018,,
Paris 1919: Six Months That Changed the World,Margaret MacMillan,World History,2018,,
Station Eleven,Emily St. John Mandel,Fiction,2017,Yes,
Candide,Voltaire,Fiction,2017,Yes,
Wuthering Heights,Emily Bronte,Fiction,2017,Yes,
The Iran Wars,Jay Solomon,Politics,2017,,
The Politics of Diplomacy,James Baker,Politics,2017,,
"""1924""",Peter Ross Range,World History,2017,,
Geography Club,Brent Hartinger,Fiction,2017,,
Camelot's Court,Robert Dallek,Politics /American History,2017,,
The Arab Uprisings,Michael R Auslin,Politics,2017,,
Shoe Dog,Phil Knight,Business / Memoir,2017,,
